ao_hechos;mes_hechos;fecha_hechos;delito;categoria_delito;fiscalia;agencia;unidad_investigacion;alcaldia_hechos;colonia_hechos;ao_inicio;mes_inicio;fecha_inicio;calle_hechos;calle_hechos2;longitud;latitud;geopoint
2019;Abril;2019-04-13 19:30;ROBO DE OBJETOS;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN BENITO JUÁREZ;BJ-1;UI-1SD;VENUSTIANO CARRANZA;AEROPUERTO INTERNACIONAL BENITO JUÁREZ;2019;Mayo;2019-05-09 12:26;CAPITAL CARLOS LEON   -SONORA-;NA;-99.080366142022;19.437191403373;19.4371914034,-99.080366142
2019;Mayo;2019-05-08 21:40;ROBO A PASAJERO / CONDUCTOR DE TAXI CON VIOLENCIA;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN IZTAPALAPA;IZP-6;UI-3CD;IZTAPALAPA;ERMITA ZARAGOZA;2019;Mayo;2019-05-09 12:33;AVENIDA CONGRESO DE CHILPANCINGO SUR;NA;-99.000731389531;19.3651520462003;19.3651520462,-99.0007313895
2019;Mayo;2019-05-06 12:23;DDH ANONIMAS;HECHO NO DELICTIVO;INVESTIGACIÓN EN IZTAPALAPA;IZP-8;UI-3CD;IZTAPALAPA;VALLE DE SAN LORENZO;2019;Mayo;2019-05-09 12:37;CERRADA RIO MICHIGAN;NA;-99.0777426999803;19.2960280024071;19.2960280024,-99.0777427
2019;Mayo;2019-05-08 08:30;ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN MIGUEL HIDALGO;MH-1;UI-1SD;BENITO JUAREZ;CRÉDITO CONSTRUCTOR;2019;Mayo;2019-05-09 12:39;AV. INSURGENTES SUR;NA;-99.1820091710872;19.3640022064003;19.3640022064,-99.1820091711
2019;Mayo;2019-05-08 21:50;ROBO DE MOTOCICLETA CON VIOLENCIA;ROBO DE VEHÍCULO CON Y SIN VIOLENCIA;INVESTIGACIÓN EN ÁLVARO OBREGÓN;AO-4;UI-3SD;ALVARO OBREGON;PROGRESO TIZAPAN;2019;Mayo;2019-05-09 12:41;AVENIDA RIO MAGDALENA;NA;-99.1958565545214;19.338013907253;19.3380139073,-99.1958565545
2019;Mayo;2019-05-04 13:30;DESPOJO;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN GUSTAVO A. MADERO;GAM-4;UI-3CD;GUSTAVO A MADERO;CONSTITUCIÓN DE LA REPÚBLICA;2019;Mayo;2019-05-09 12:42;C. MIGUEL M. ARRIOJA;CALZADA SAN JUAN DE ARAGON;-99.1004353137672;19.4803003285241;19.4803003285,-99.1004353138
2015;Octubre;2015-10-15 09:36;FRAUDE;DELITO DE BAJO IMPACTO;JUZGADOS CIVILES;74;UI-7SD;CUAUHTEMOC;DOCTORES;2019;Mayo;2019-05-09 12:44;DR. NIÑOS HEROES;NA;-99.1493653998845;19.4247938042277;19.4247938042,-99.1493653999
2019;Abril;2019-04-14 13:30;AMENAZAS;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN CUAUHTEMOC;CUH-8;UI-3SD;CUAUHTEMOC;DOCTORES;2019;Mayo;2019-05-09 12:44;AVENIDA NIÑOS HEROES;NA;-99.1505038603407;19.4187506700246;19.41875067,-99.1505038603
2019;Mayo;2019-05-07 22:10;ROBO A NEGOCIO CON VIOLENCIA;ROBO A NEGOCIO CON VIOLENCIA;INVESTIGACIÓN EN GUSTAVO A. MADERO;GAM-8;UI-3SD;GUSTAVO A MADERO;LA JOYITA;2019;Mayo;2019-05-09 12:54;NORTE 54-A;OTRIENTE 103;-99.1152017000542;19.4666283981873;19.4666283982,-99.1152017001
2019;Mayo;2019-05-08 22:00;ROBO DE ACCESORIOS DE AUTO;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN BENITO JUÁREZ;BJ-3;UI-3SD;BENITO JUAREZ;NAPOLES;2019;Mayo;2019-05-09 12:54;DAKOTA;NA;-99.1766648004657;19.3921510970558;19.3921510971,-99.1766648005
2019;Mayo;2019-05-09 05:00;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN VENUSTIANO CARRANZA;VC-2;UI-1SD;VENUSTIANO CARRANZA;PEÑÓN DE LOS BAÑOS;2019;Mayo;2019-05-09 13:01;QUETZALCOAL;NA;-99.0822012719543;19.4380877451908;19.4380877452,-99.082201272
2019;Mayo;2019-05-09 08:15;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN IZTAPALAPA;IZP-7;UI-3CD;IZTAPALAPA;LOS ÁNGELES;2019;Mayo;2019-05-09 13:14;PETUNIA;JAIME NUNO;-99.0671437950518;19.3410770605953;19.3410770606,-99.0671437951
2019;Mayo;2019-05-08 10:30;DAÑO EN PROPIEDAD AJENA INTENCIONAL;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN XOCHIMILCO;XO-1;UI-3SD;XOCHIMILCO;SAN LORENZO ATEMOAYA;2019;Mayo;2019-05-09 13:18;CERRADA VICENTE GUERRERO;NA;-99.1045656880412;19.2277980753628;19.2277980754,-99.104565688
2019;Mayo;2019-05-07 19:20;ROBO A PASAJERO / CONDUCTOR DE VEHICULO CON VIOLENCIA;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN AZCAPOTZALCO;AZ-1;UI-3SD;AZCAPOTZALCO;PASTEROS;2019;Mayo;2019-05-09 13:18;AV. AQUILES SERDAN;NA;-99.1952473838749;19.4908598418065;19.4908598418,-99.1952473839
2019;Mayo;2019-05-04 12:30;FALSIFICACION DE TITULOS AL PORTADOR Y DOCUMENTOS DE CREDITO PUBLICO;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN BENITO JUÁREZ;BJ-1;UI-1SD;BENITO JUAREZ;DEL VALLE CENTRO;2019;Mayo;2019-05-09 13:23;FELIX CUEVAS;GABRIEL MANCERA;-99.1691531835805;19.3716911519763;19.371691152,-99.1691531836
2019;Mayo;2019-05-08 18:30;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN COYOACÁN;COY-3;UI-3SD;COYOACAN;AMPLIACION SAN FRANCISCO CULHUACAN;2019;Mayo;2019-05-09 13:24;EJIDO;NA;-99.1203301763514;19.3311280982653;19.3311280983,-99.1203301764
2019;Mayo;2019-05-09 12:00;RESISTENCIA DE PARTICULARES (SE OPONGA O RESISTA);DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN IZTAPALAPA;IZP-6;UI-3CD;IZTAPALAPA;EJERCITO DE AGUA PRIETA;2019;Mayo;2019-05-09 13:24;FUERTE DE LORETO;PLAN DE AYALA;-99.0290437021059;19.3661005118962;19.3661005119,-99.0290437021
2019;Mayo;2019-05-07 23:55;ROBO A PASAJERO / CONDUCTOR DE VEHICULO CON VIOLENCIA;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN ÁLVARO OBREGÓN;AO-1;UI-3SD;IZTAPALAPA;EJERCITO DE ORIENTE ZONA PEÑON;2019;Mayo;2019-05-09 13:25;BATALLA CINCO DE MAYO;JACOBO B.;-99.0342126319751;19.3704611160074;19.370461116,-99.034212632
2019;Mayo;2019-05-09 07:05;ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN ÁLVARO OBREGÓN;AO-1;UI-3SD;ALVARO OBREGON;EL POCITO;2019;Mayo;2019-05-09 13:26;AVENIDA CHICAGO;NA;-99.2095890586139;19.3825765286707;19.3825765287,-99.2095890586
